Ontology;Number of structures;
saref.rdf;46;
saref4bldg.rdf;308;
saref4city.rdf;40;
saref4ener.rdf;133;
saref4envi.rdf;56;
saref4inma.rdf;36;
saref4syst.rdf;3;
