Pattern;Times;Ontologies;Structures
Pattern 1;2;1;saref.rdf-8;saref.rdf-9
Pattern 2;4;4;saref.rdf-19;saref4bldg.rdf-305;saref4city.rdf-31;saref4envi.rdf-50
Pattern 3;2;2;saref.rdf-20;saref4city.rdf-29
Pattern 4;4;4;saref.rdf-21;saref4bldg.rdf-304;saref4city.rdf-35;saref4envi.rdf-52
Pattern 5;4;4;saref.rdf-22;saref4bldg.rdf-307;saref4city.rdf-32;saref4envi.rdf-53
Pattern 6;2;2;saref.rdf-23;saref4city.rdf-34
Pattern 7;4;4;saref.rdf-24;saref4bldg.rdf-306;saref4city.rdf-33;saref4envi.rdf-54
Pattern 8;4;4;saref.rdf-25;saref4bldg.rdf-308;saref4city.rdf-36;saref4envi.rdf-49
