Ontology;Number of structures;
saref.rdf;46;
saref4agri.rdf;53;
saref4auto.rdf;108;
saref4bldg.rdf;308;
saref4city.rdf;40;
saref4ehaw.rdf;2;
saref4ener.rdf;133;
saref4envi.rdf;56;
saref4grid.rdf;52;
saref4inma.rdf;36;
saref4lift.rdf;21;
saref4syst.rdf;3;
saref4watr.rdf;35;
saref4wear.rdf;22;
